,player,team_id,cluster
280,J.J. Redick,PHI,6
281,Cameron Reynolds,MIN,3
282,Josh Richardson,MIA,6
283,Glenn Robinson,DET,3
284,Jerome Robinson,LAC,3
285,Mitchell Robinson,NYK,1
286,Rajon Rondo,LAL,2
287,Derrick Rose,MIN,2
288,Terrence Ross,ORL,5
289,Terry Rozier,BOS,5
290,Ricky Rubio,UTA,6
291,D'Angelo Russell,BRK,4
292,Domantas Sabonis,IND,1
293,Brandon Sampson,CHI,3
294,Tomas Satoransky,WAS,7
295,Dennis Schroeder,OKC,5
296,Thabo Sefolosha,UTA,3
297,Collin Sexton,CLE,6
298,Pascal Siakam,TOR,6
299,Ben Simmons,PHI,4
300,Marcus Smart,BOS,7
301,Ish Smith,DET,5
302,J.R. Smith,CLE,3
303,Tony Snell,MIL,5
304,Omari Spellman,ATL,3
305,Lance Stephenson,LAL,5
306,Edmond Sumner,IND,3
307,Jayson Tatum,BOS,6
308,Jeff Teague,MIN,2
309,Daniel Theis,BOS,1
310,Lance Thomas,NYK,3
311,Klay Thompson,GSW,6
312,Tristan Thompson,CLE,2
313,Sindarius Thornwell,LAC,5
314,Anthony Tolliver,MIN,5
315,Karl-Anthony Towns,MIN,0
316,Allonzo Trier,NYK,5
317,P.J. Tucker,HOU,6
318,Evan Turner,POR,5
319,Myles Turner,IND,0
320,Ekpe Udoh,UTA,1
321,Fred VanVleet,TOR,5
322,Noah Vonleh,NYK,7
323,Nikola Vucevic,ORL,0
324,Dwyane Wade,MIA,5
325,Moritz Wagner,LAL,3
326,Dion Waiters,MIA,2
327,Kemba Walker,CHO,4
328,John Wall,WAS,2
329,Tyrone Wallace,LAC,5
330,Taurean Waller-Prince,ATL,7
331,Brad Wanamaker,BOS,3
332,T.J. Warren,PHO,2
333,Julian Washburn,MEM,3
334,Russell Westbrook,OKC,4
335,Derrick White,SAS,7
336,Hassan Whiteside,MIA,0
337,Andrew Wiggins,MIN,6
338,Johnathan Williams,LAL,3
339,Kenrich Williams,NOP,2
340,Lou Williams,LAC,5
341,Marvin Williams,CHO,6
342,Robert Williams,BOS,1
343,Troy Williams,SAC,3
344,D.J. Wilson,MIL,3
345,Justise Winslow,MIA,7
346,Guerschon Yabusele,BOS,3
347,Thaddeus Young,IND,6
348,Trae Young,ATL,4
349,Cody Zeller,CHO,2
350,Ante Zizic,CLE,1
351,Ryan Anderson,MIA,3
352,Trevor Ariza,WAS,6
353,Harrison Barnes,SAC,6
354,Avery Bradley,MEM,7
355,Corey Brewer,SAC,3
356,Reggie Bullock,LAL,7
357,Trey Burke,DAL,5
358,Alec Burks,SAC,5
359,Jimmy Butler,PHI,6
360,Isaiah Canaan,MIL,3
361,Michael Carter-Williams,ORL,3
362,Tyson Chandler,LAL,1
363,Wilson Chandler,LAC,2
364,Marquese Chriss,CLE,3
365,Robert Covington,MIN,2
366,Sam Dekker,WAS,3
367,Matthew Dellavedova,CLE,3
368,Tyler Dorsey,MEM,3
369,Henry Ellenson,NYK,3
370,Wayne Ellington,DET,7
371,James Ennis,PHI,5
372,Kenneth Faried,HOU,1
373,Tim Frazier,MIL,5
374,Marc Gasol,TOR,6
375,Pau Gasol,MIL,3
376,JaMychal Green,LAC,1
377,Tim Hardaway,DAL,6
378,Tobias Harris,PHI,6
379,George Hill,MIL,5
380,Justin Holiday,MEM,6
381,Rodney Hood,POR,7
382,Justin Jackson,DAL,5
383,John Jenkins,NYK,3
384,Stanley Johnson,NOP,5
385,Tyler Johnson,PHX,5
386,Wesley Johnson,WAS,3
387,DeAndre Jordan,NYK,0
388,Enes Kanter,POR,1
389,Brandon Knight,CLE,3
390,Kyle Korver,UTA,5
391,Courtney Lee,DAL,3
392,Jeremy Lin,TOR,5
393,Timothe Luwawu-Cabarrot,CHI,3
394,Shelvin Mack,CHO,5
395,Thon Maker,DET,5
396,Boban Marjanovic,PHI,1
397,Wesley Matthews,IND,6
398,Patrick McCaw,TOR,3
399,C.J. Miles,MEM,3
400,Nikola Mirotic,MIL,2
401,Greg Monroe,PHI,1
402,Markieff Morris,OKC,5
403,Mike Muscala,LAL,5
404,Sviatoslav Mykhailiuk,DET,3
405,Kelly Oubre,PHX,5
406,Jabari Parker,WAS,5
407,Cameron Payne,CLE,3
408,Otto Porter,CHI,2
409,Bobby Portis,WAS,2
410,Austin Rivers,HOU,5
411,Dario Saric,MIN,7
412,Mike Scott,PHI,5
413,Wayne Selden,CHI,5
414,Landry Shamet,LAC,5
415,Iman Shumpert,HOU,7
416,Jonathon Simmons,PHI,5
417,Dennis Smith,NYK,2
418,Nik Stauskas,CLE,5
419,Garrett Temple,LAC,7
420,Jonas Valanciunas,MEM,2
421,Christian Wood,NOP,3
422,Delon Wright,MEM,5
423,Ivica Zubac,LAC,2
